iter	Logloss
0	0.6850710312
1	0.6762164355
2	0.6696656598
3	0.661615343
4	0.6534021208
5	0.6461883954
6	0.6376117447
7	0.6306247631
8	0.6239275652
9	0.6172237788
10	0.6105785824
11	0.603427535
12	0.5970240586
13	0.5897848811
14	0.5835815576
15	0.5770984256
16	0.571204564
17	0.5643116643
18	0.5590865838
19	0.5535822804
20	0.5477455777
21	0.5440383291
22	0.5385407393
23	0.5327284183
24	0.528270027
25	0.5240422033
26	0.5188254156
27	0.5138913076
28	0.5104525394
29	0.5061950985
30	0.5015303874
31	0.4961403144
32	0.4917005492
33	0.4876907762
34	0.4837986741
35	0.479303503
36	0.4753330429
37	0.471468289
38	0.4679342404
39	0.4641404569
40	0.4608237511
41	0.4571821964
42	0.4537328078
43	0.4503866112
44	0.4473803916
45	0.4447697589
46	0.4413628779
47	0.4377190025
48	0.4346388161
49	0.4321032932
50	0.4291172545
51	0.4257059414
52	0.4229446434
53	0.4194666099
54	0.4166672555
55	0.4136125524
56	0.4110596961
57	0.4085552534
58	0.4063734256
59	0.4038280704
60	0.4010567122
61	0.3995002489
62	0.3975046515
63	0.3950816402
64	0.3934961984
65	0.3909937428
66	0.3891882219
67	0.3870103372
68	0.3849325793
69	0.3829269749
70	0.3814480522
71	0.3804310693
72	0.3792429647
73	0.3770631788
74	0.3748050055
75	0.372980831
76	0.3715173436
77	0.3698484533
78	0.3684086115
79	0.3669687675
80	0.3652613091
81	0.3640039395
82	0.3624716467
83	0.3605295008
84	0.3588683985
85	0.3570921537
86	0.3555642438
87	0.3539703895
88	0.3521101333
89	0.3508414071
90	0.3496980038
91	0.3483838111
92	0.3467793812
93	0.3457960439
94	0.3445528391
95	0.3433397965
96	0.3418385333
97	0.340492738
98	0.3393040703
99	0.3382117132
100	0.3373253018
101	0.3360473171
102	0.3349950821
103	0.3338015888
104	0.3323048418
105	0.3314974144
106	0.3305773341
107	0.3294429631
108	0.3282712275
109	0.3272142094
110	0.3269914436
111	0.3257824528
112	0.3245384592
113	0.323555182
114	0.322417282
115	0.3213797434
116	0.3203874809
117	0.3196320759
118	0.3187559807
119	0.317708514
120	0.3169556523
121	0.3162514111
122	0.3150166341
123	0.3142136622
124	0.3133706214
125	0.3124563947
126	0.3115087756
127	0.3102830087
128	0.3093785087
129	0.3083204408
130	0.3073844327
131	0.3067139433
132	0.30644372
133	0.3056589187
134	0.304871204
135	0.3041086595
136	0.3032535884
137	0.3022614236
138	0.3014047962
139	0.300706886
140	0.2998908522
141	0.2991441115
142	0.2985103963
143	0.2983934365
144	0.2976233925
145	0.296880698
146	0.2959882564
147	0.2950385013
148	0.2943160259
149	0.2938845638
150	0.2932830154
151	0.2926172981
152	0.2917435396
153	0.2909823176
154	0.2906754454
155	0.2899755044
156	0.2893071001
157	0.288896423
158	0.2881758359
159	0.2876105417
160	0.287148099
161	0.2863465946
162	0.2856936992
163	0.2852941682
164	0.2846503803
165	0.2841221751
166	0.2834726031
167	0.2827001682
168	0.2819237532
169	0.2815307273
170	0.281074896
171	0.280648621
172	0.2802120306
173	0.279497138
174	0.2789044859
175	0.2785057681
176	0.2780109424
177	0.2776498096
178	0.2770190698
179	0.2765941002
180	0.2760509981
181	0.2753965563
182	0.2748908246
183	0.2743442939
184	0.2735797076
185	0.2730152906
186	0.2725123648
187	0.2723144112
188	0.2719369326
189	0.2712680571
190	0.270586638
191	0.2698832582
192	0.2695196653
193	0.2691095406
194	0.268918153
195	0.268379777
196	0.267861811
197	0.2672946912
198	0.2667821756
199	0.2664762174
200	0.265913145
201	0.2654340661
202	0.2652711222
203	0.2649422172
204	0.2645160061
205	0.2644625438
206	0.2639336456
207	0.2635319157
208	0.2632891323
209	0.2629599484
210	0.2626948119
211	0.2623629748
212	0.2618730511
213	0.2615421377
214	0.2611648859
215	0.2607663953
216	0.2602603776
217	0.2599348772
218	0.2596815013
219	0.2592658367
220	0.2586105456
221	0.258233725
222	0.2580404728
223	0.2576489883
224	0.2570965112
225	0.2567030349
226	0.2561885449
227	0.2558550156
228	0.2555979105
229	0.2552463315
230	0.2547954148
231	0.2544541423
232	0.2541501424
233	0.2537809138
234	0.2532774389
235	0.2529753756
236	0.2523968724
237	0.2520536989
238	0.2516600632
239	0.2514487382
240	0.2512014861
241	0.2509244976
242	0.2505152178
243	0.2502222933
244	0.2498429199
245	0.2495473828
246	0.2491547245
247	0.2489862075
248	0.2488387009
249	0.2486055244
250	0.2482394253
251	0.2480526758
252	0.2477078366
253	0.2474517855
254	0.2470876407
255	0.2465735518
256	0.2462499268
257	0.2461639562
258	0.2459365772
259	0.2456505724
260	0.2451384199
261	0.2447740076
262	0.2445397298
263	0.2442273348
264	0.2437808659
265	0.243658663
266	0.2432670321
267	0.2431436632
268	0.2428791171
269	0.2425713307
270	0.2421061762
271	0.241783449
272	0.2415103714
273	0.2412958622
274	0.2409460274
275	0.2405541314
276	0.2401919363
277	0.2399140855
278	0.2397884208
279	0.2396262091
280	0.2393304702
281	0.2388689689
282	0.2387376777
283	0.2384476878
284	0.2383856729
285	0.2380219678
286	0.2376331985
287	0.2374509447
288	0.2372379365
289	0.236956144
290	0.2366365995
291	0.2364299976
292	0.2362800078
293	0.236122568
294	0.2357211124
295	0.2351451979
296	0.234882589
297	0.234591781
298	0.2342188886
299	0.2339172614
300	0.2337970223
301	0.2336523615
302	0.2335971978
303	0.2333153763
304	0.2329738757
305	0.2326303326
306	0.2322836727
307	0.2320339008
308	0.2315774212
309	0.2311816965
310	0.2308143381
311	0.2306545582
312	0.2305132204
313	0.2302651069
314	0.2298947466
315	0.2297037973
316	0.2293829101
317	0.2292342834
318	0.2290292206
319	0.2288059063
320	0.2286647613
321	0.2284623385
322	0.2282002505
323	0.2281437968
324	0.2277839881
325	0.2275999079
326	0.2273948261
327	0.2271557835
328	0.2267893211
329	0.2265980359
330	0.2264627472
331	0.2263573744
332	0.2262637032
333	0.2260984591
334	0.225838589
335	0.2255629068
336	0.225220023
337	0.22508194
338	0.224820359
339	0.2246784071
340	0.2243186249
341	0.2243108644
342	0.2240060101
343	0.2237113406
344	0.223306564
345	0.2231997406
346	0.2228838574
347	0.2225836408
348	0.2224919351
349	0.2223432189
350	0.2220604075
351	0.2216836559
352	0.2215404427
353	0.221463946
354	0.2213595517
355	0.2212715877
356	0.2211455324
357	0.220982839
358	0.2209595056
359	0.2206151665
360	0.2205253741
361	0.2203127359
362	0.2202038259
363	0.2197439093
364	0.2194952559
365	0.219187591
366	0.2189540676
367	0.218788984
368	0.2185713383
369	0.2184776828
370	0.2183508746
371	0.2182175236
372	0.2181964363
373	0.2178943612
374	0.2177135352
375	0.217406192
376	0.2172230675
377	0.2170842634
378	0.2168185901
379	0.2165121662
380	0.2163437862
381	0.2163204068
382	0.2161469055
383	0.2160096362
384	0.2159497945
385	0.2157383064
386	0.2157285582
387	0.2153218224
388	0.2150476916
389	0.2147422673
390	0.2146497336
391	0.214498625
392	0.2140639206
393	0.2138383266
394	0.2133646769
395	0.2132460367
396	0.212932904
397	0.2126239279
398	0.2123089674
399	0.2121407121
400	0.2119206581
401	0.2116804762
402	0.2114728954
403	0.2112944767
404	0.2110361812
405	0.2108922039
406	0.2107315881
407	0.2106797819
408	0.2103902451
409	0.21028353
410	0.2101223833
411	0.2099000366
412	0.2096113334
413	0.2095023583
414	0.2094318591
415	0.2091543765
416	0.2091343446
417	0.2089525164
418	0.2087255014
419	0.208526733
420	0.2083702733
421	0.2082342861
422	0.2080800364
423	0.2080223107
424	0.2078684331
425	0.2078233094
426	0.2074779161
427	0.2072746344
428	0.2069232182
429	0.2066816066
430	0.2064249268
431	0.2062987516
432	0.2062694979
433	0.2061538228
434	0.205854974
435	0.205588214
436	0.2054026743
437	0.2052402088
438	0.2051475921
439	0.2049929517
440	0.2048383011
441	0.2044100666
442	0.204166043
443	0.2041087956
444	0.2038342957
445	0.2037086358
446	0.2035316164
447	0.2033367022
448	0.2031272471
449	0.2029802422
450	0.2027153892
451	0.2026142084
452	0.2024840294
453	0.2024695433
454	0.2021473718
455	0.2019298172
456	0.2018195325
457	0.2015853734
458	0.2014288476
459	0.201326775
460	0.2012067255
461	0.2010469265
462	0.2008991162
463	0.2006089818
464	0.2003717348
465	0.200232953
466	0.2000481363
467	0.2000406266
468	0.1998204007
469	0.1997249016
470	0.199613604
471	0.1994620166
472	0.1992153777
473	0.198775153
474	0.1986886838
475	0.1984986239
476	0.1982450536
477	0.1980443629
478	0.1978129275
479	0.1977052913
480	0.1976810733
481	0.1976566342
482	0.1973026149
483	0.1972306343
484	0.1970686934
485	0.1967228656
486	0.1965069411
487	0.1960694459
488	0.1959103607
489	0.1958270969
490	0.1957213036
491	0.1955327124
492	0.195257328
493	0.194970131
494	0.1946887567
495	0.1945117704
496	0.1944169504
497	0.1942737198
498	0.1941405421
499	0.1940064576
500	0.1938628254
501	0.1935849868
502	0.1934765121
503	0.1933164554
504	0.1931092234
505	0.1930680637
506	0.1929481626
507	0.1929442072
508	0.1926504492
509	0.1924511604
510	0.1922119497
511	0.1919216954
512	0.1916441253
513	0.1915321681
514	0.1912959842
515	0.191217
516	0.1909469548
517	0.1907837071
518	0.1906927793
519	0.190560802
520	0.190353348
521	0.1901047767
522	0.1898378786
523	0.1897840669
524	0.1895639425
525	0.1893153645
526	0.1892723955
527	0.18921349
528	0.188988484
529	0.188982993
530	0.1887070225
531	0.188628317
532	0.1884987709
533	0.1884415894
534	0.1883936793
535	0.1882423534
536	0.1881564556
537	0.1879583403
538	0.1877319299
539	0.1875377607
540	0.1873367907
541	0.1872489178
542	0.1871806331
543	0.1870726038
544	0.1868507423
545	0.1867723651
546	0.1866270754
547	0.1864461361
548	0.1862650078
549	0.1861573947
550	0.1859756649
551	0.1858845045
552	0.1857026655
553	0.1855554616
554	0.1854155504
555	0.1852198539
556	0.1850081196
557	0.1848511986
558	0.1846908193
559	0.1845350002
560	0.1842238695
561	0.1840705745
562	0.1839354215
563	0.1837753685
564	0.1836477626
565	0.1835699483
566	0.1833666539
567	0.1830803032
568	0.1830183897
569	0.182840799
570	0.1828135954
571	0.1826255359
572	0.1824488554
573	0.1822973875
574	0.1821299108
575	0.1820298449
576	0.1818917041
577	0.18176215
578	0.1815315298
579	0.1814021566
580	0.1810726004
581	0.180902453
582	0.1806905438
583	0.180573538
584	0.1804000252
585	0.1802983222
586	0.1801451024
587	0.1801134666
588	0.1800153059
589	0.1798185583
590	0.1795115207
591	0.1793192423
592	0.1791384578
593	0.1790029126
